# Published source data: YMnO3 antiferromagnetic Z-mode spin precession at about 30 K.
# Tzschaschel, Satoh & Fiebig, Nature Communications 11, 6142 (2020). DOI: 10.1038/s41467-020-19749-y.
# Meaning: time-resolved Faraday rotation after impulsive optical excitation. The damped oscillation is the antiferromagnetic Z-mode precession.
# Paper model: Phi(t)=A0+A1*exp(-t/t1)+A2*exp(-t/tau)*sin(omega*t+phi0). The configured Data Tool session selects t>=5 ps, after the short pump/probe and thermal transient, and fits the damped-sine term plus a constant baseline.
# Paper text reports an exemplary period of about 18.2 ps and initial phase about 0.1 rad. Source-data temperature scans near 30 K give relaxation times about 145-150 ps with fit standard errors about 4 ps.
# Independent equal-scatter fit for t>=5 ps with Data Tool's damped-sine form gives T=18.17863 ps, tau=148.9254 ps, phase=0.08937 rad; residual scatter=1.0446e-4 arb. u.
# The source workbook does not provide point-by-point measurement uncertainties; parameter errors are therefore estimated from residual scatter under the equal-scatter model.
Delay (ps),Faraday rotation (arb. u.)
24.68234,0.001255
24.78238,0.001214
24.88243,0.001136
24.98247,0.001028
25.08252,0.000898
25.18256,0.000758
25.28261,0.000623
25.38265,0.000506
25.4827,0.000418
25.58274,0.000369
25.68279,0.000362
25.78283,0.000398
25.88288,0.000472
25.98292,0.000578
26.08297,0.000706
26.18301,0.000845
26.28306,0.000981
26.3831,0.0011
26.48315,0.001191
26.58319,0.001244
26.68324,0.001255
26.78328,0.001224
26.88333,0.001155
26.98337,0.001054
27.08342,0.000929
27.18346,0.000793
27.28351,0.00066
27.38355,0.000543
27.4836,0.000454
27.58364,0.000403
27.68369,0.000393
27.78373,0.000426
27.88378,0.000498
27.98382,0.000601
28.08387,0.000726
28.18391,0.000861
28.28396,0.000993
28.384,0.001109
28.48405,0.001198
28.58409,0.001249
28.68414,0.00126
28.78418,0.00123
28.88423,0.001162
28.98427,0.001063
29.08432,0.000941
29.18436,0.000808
29.28441,0.000678
29.38445,0.000563
29.4845,0.000475
29.58454,0.000425
29.68459,0.000415
29.78463,0.000447
29.88468,0.000516
29.98472,0.000616
30.08477,0.000737
30.18481,0.000868
30.28486,0.000996
30.3849,0.001108
30.48495,0.001194
30.58499,0.001244
30.68504,0.001254
30.78508,0.001225
30.88513,0.00116
30.98517,0.001064
31.08522,0.000945
31.18526,0.000815
31.28531,0.000689
31.38535,0.000577
31.4854,0.00049
31.58544,0.000438
31.68549,0.000425
31.78553,0.000449
31.88558,0.000512
31.98562,0.000605
32.08567,0.000719
32.18571,0.000845
32.28576,0.00097
32.3858,0.001082
32.48585,0.00117
32.58589,0.001222
32.68594,0.001236
32.78598,0.001211
32.88603,0.001149
32.98607,0.001057
33.08612,0.000942
33.18616,0.000816
33.28621,0.000693
33.38625,0.000583
33.4863,0.000497
33.58634,0.000445
33.68639,0.000432
33.78643,0.000457
33.88648,0.000519
33.98652,0.00061
34.08657,0.000722
34.18661,0.000845
34.28666,0.000967
34.3867,0.001076
34.48675,0.001161
34.58679,0.001211
34.68684,0.001223
34.78688,0.001197
34.88693,0.001134
34.98697,0.001043
35.08702,0.000929
35.18706,0.000805
35.28711,0.000684
35.38715,0.000576
35.4872,0.000493
35.58724,0.000442
35.68729,0.000431
35.78733,0.000458
35.88738,0.000522
35.98742,0.000615
36.08747,0.000727
36.18751,0.00085
36.28756,0.000971
36.3876,0.001078
36.48765,0.001162
36.58769,0.00121
36.68774,0.00122
36.78778,0.001192
36.88783,0.001128
36.98787,0.001035
37.08792,0.00092
37.18796,0.000797
37.28801,0.000678
37.38805,0.000572
37.4881,0.00049
37.58814,0.000441
37.68819,0.000432
37.78823,0.000461
37.88828,0.000526
37.98832,0.00062
38.08837,0.000733
38.18841,0.000855
38.28846,0.000976
38.3885,0.001083
38.48855,0.001165
38.58859,0.001212
38.68864,0.00122
38.78868,0.001191
38.88873,0.001126
38.98877,0.001033
39.08882,0.000918
39.18886,0.000795
39.28891,0.000676
39.38895,0.00057
39.489,0.000488
39.58904,0.000439
39.68909,0.00043
39.78913,0.000459
39.88918,0.000524
39.98922,0.000618
40.08927,0.000731
40.18931,0.000853
40.28936,0.000974
40.3894,0.001081
40.48945,0.001163
40.58949,0.00121
40.68954,0.001218
40.78958,0.001189
40.88963,0.001124
40.98967,0.001031
41.08972,0.000916
41.18976,0.000793
41.28981,0.000674
41.38985,0.000568
41.4899,0.000486
41.58994,0.000437
41.68999,0.000428
41.79003,0.000457
41.89008,0.000522
41.99012,0.000616
42.09017,0.000729
42.19021,0.000851
42.29026,0.000972
42.3903,0.001079
42.49035,0.001161
42.59039,0.001208
42.69044,0.001216
42.79048,0.001187
42.89053,0.001122
42.99057,0.001029
43.09062,0.000914
43.19066,0.000791
43.29071,0.000672
43.39075,0.000566
43.4908,0.000484
43.59084,0.000435
43.69089,0.000426
43.79093,0.000455
43.89098,0.00052
43.99102,0.000614
44.09107,0.000727
44.19111,0.000849
44.29116,0.00097
44.3912,0.001077
44.49125,0.001159
44.59129,0.001206
44.69134,0.001214
44.79138,0.001185
44.89143,0.00112
44.99147,0.001027
45.09152,0.000912
45.19156,0.000789
45.29161,0.00067
45.39165,0.000564
45.4917,0.000482
45.59174,0.000433
45.69179,0.000424
45.79183,0.000453
45.89188,0.000518
45.99192,0.000612
46.09197,0.000725
46.19201,0.000847
46.29206,0.000968
46.3921,0.001075
46.49215,0.001157
46.59219,0.001204
46.69224,0.001212
46.79228,0.001183
46.89233,0.001118
46.99237,0.001025
47.09242,0.00091
47.19246,0.000787
47.29251,0.000668
47.39255,0.000562
47.4926,0.00048
47.59264,0.000431
47.69269,0.000422
47.79273,0.000451
47.89278,0.000516
47.99282,0.00061
48.09287,0.000723
48.19291,0.000845
48.29296,0.000966
48.393,0.001073
48.49305,0.001155
48.59309,0.001202
48.69314,0.00121
48.79318,0.001181
48.89323,0.001116
48.99327,0.001023
49.09332,0.000908
49.19336,0.000785
49.29341,0.000666
49.39345,0.00056
49.4935,0.000478
49.59354,0.000429
49.69359,0.00042
49.79363,0.000449
49.89368,0.000514
49.99372,0.000608
50.09377,0.000721
50.19381,0.000843
50.29386,0.000964
50.3939,0.001071
50.49395,0.001153
50.59399,0.0012
50.69404,0.001208
50.79408,0.001179
50.89413,0.001114
50.99417,0.001021
51.09422,0.000906
51.19426,0.000783
51.29431,0.000664
51.39435,0.000558
51.4944,0.000476
51.59444,0.000427
51.69449,0.000418
51.79453,0.000447
51.89458,0.000512
51.99462,0.000606
52.09467,0.000719
52.19471,0.000841
52.29476,0.000962
52.3948,0.001069
52.49485,0.001151
52.59489,0.001198
52.69494,0.001206
52.79498,0.001177
52.89503,0.001112
52.99507,0.001019
53.09512,0.000904
53.19516,0.000781
53.29521,0.000662
53.39525,0.000556
53.4953,0.000474
53.59534,0.000425
53.69539,0.000416
53.79543,0.000445
53.89548,0.00051
53.99552,0.000604
54.09557,0.000717
54.19561,0.000839
54.29566,0.00096
54.3957,0.001067
54.49575,0.001149
54.59579,0.001196
54.69584,0.001204
54.79588,0.001175
54.89593,0.00111
54.99597,0.001017
55.09602,0.000902
55.19606,0.000779
55.29611,0.00066
55.39615,0.000554
55.4962,0.000472
55.59624,0.000423
55.69629,0.000414
55.79633,0.000443
55.89638,0.000508
55.99642,0.000602
56.09647,0.000715
56.19651,0.000837
56.29656,0.000958
56.3966,0.001065
56.49665,0.001147
56.59669,0.001194
56.69674,0.001202
56.79678,0.001173
56.89683,0.001108
56.99687,0.001015
57.09692,0.0009
57.19696,0.000777
57.29701,0.000658
57.39705,0.000552
57.4971,0.00047
57.59714,0.000421
57.69719,0.000412
57.79723,0.000441
