# Fit coefficients closely reproduce publication; statistics use different rows - see documentation: published-ion-chamber-wall-thin.md
# Published data: wall-thickness dependence of a spherical ionization chamber response.
# Shortt et al., Physics in Medicine & Biology 47 (2002) 1721-1731. DOI: 10.1088/0031-9155/47/10/308.
# Meaning: chamber response is normalized to the thinnest wall. The Y uncertainty is the paper's combined standard uncertainty; thickness uncertainty and the direct response uncertainty are retained separately.
# Thin-wall benchmark: the paper fitted ONLY t=3.73, 3.97, 4.85, and 9.56 mm, then evaluated the reported reduced chi-square over all nine thin-wall points shown here.
# Published linear fit R(t)=a0+a1*t: a0=1.0032 +/- 0.0015, a1=(-6.53 +/- 0.22)e-3 mm^-1, reduced chi^2=4.4; wall correction Kw=1.0240 +/- 0.0023.
# Published nonlinear fit R(t)=a0+a1*t*f(alpha): a0=1.0128 +/- 0.0018, a1=(-5.41 +/- 0.18)e-3 mm^-1, reduced chi^2=0.17; Kw=1.0336 +/- 0.0021.
# Reproduction helper: the final column is the paper's tabulated t*f(alpha), so the nonlinear model can be checked as a straight line in that column. Data Tool's chi-square for the four selected fit rows will not equal the paper's quoted chi-square, which was evaluated over all nine points.
Wall thickness (mm),Response,Y standard deviation,Thickness standard uncertainty (mm),Response direct standard uncertainty,t*f(alpha) (mm)
1.15,1.0000,0.0011,0.06,0.0010,2.47
1.71,0.9945,0.0007,0.09,0.0005,3.38
2.23,0.9905,0.0010,0.10,0.0009,4.16
2.98,0.9839,0.0014,0.17,0.0011,5.25
3.06,0.9834,0.0007,0.11,0.0004,5.36
3.73,0.9793,0.0010,0.10,0.0008,6.26
3.97,0.9763,0.0015,0.19,0.0011,6.57
4.85,0.9712,0.0017,0.22,0.0011,7.71
9.56,0.9408,0.0010,0.12,0.0008,13.31
